ds,y
02/12/2023 12:40,0.4985895797
02/12/2023 12:50,0.4983561139
02/12/2023 13:00,0.4994078312
02/12/2023 13:10,0.5001261811
02/12/2023 13:20,0.4956707115
02/12/2023 13:30,0.5005353136
02/12/2023 13:40,0.5002193583
02/12/2023 13:50,0.4921406877
02/12/2023 14:00,0.4911052477
02/12/2023 14:10,0.4911052477
02/12/2023 14:20,0.4867998174
02/12/2023 14:30,0.4867998174
02/12/2023 14:40,0.4823629268
02/12/2023 14:50,0.4817999452
02/12/2023 15:00,0.4807680368
02/12/2023 15:10,0.4816149128
02/12/2023 15:20,0.4811932632
02/12/2023 15:30,0.4810259366
02/12/2023 15:40,0.4766669425
02/12/2023 15:50,0.4766669425
02/12/2023 16:00,0.4769395649
02/12/2023 16:10,0.4768200823
02/12/2023 16:20,0.4773962646
02/12/2023 16:30,0.4821541826
02/12/2023 16:40,0.4819542066
02/12/2023 16:50,0.4872573857
02/12/2023 17:00,0.4872573857
02/12/2023 17:10,0.4912405005
02/12/2023 17:20,0.4938943482
02/12/2023 17:30,0.4944726971
02/12/2023 17:40,0.4964930058
02/12/2023 17:50,0.4950664770
02/12/2023 18:00,0.4960479065
02/12/2023 18:10,0.4949471726
02/12/2023 18:20,0.4931579676
02/12/2023 18:30,0.4950347175
02/12/2023 18:40,0.4959076030
02/12/2023 18:50,0.4942467687
02/12/2023 19:00,0.4964930463
02/12/2023 19:10,0.4949792347
02/12/2023 19:20,0.4956002279
02/12/2023 19:30,0.4953767256
02/12/2023 19:40,0.4963772510
02/12/2023 19:50,0.4957195301
02/12/2023 20:00,0.4978355291
02/12/2023 20:10,0.4969591168
02/12/2023 20:20,0.4977246031
02/12/2023 20:30,0.4967025028
02/12/2023 20:40,0.4997135319
02/12/2023 20:50,0.4978010165
02/12/2023 21:00,0.4976096454
02/12/2023 21:10,0.4969050733
02/12/2023 21:20,0.4935141128
02/12/2023 21:30,0.4978080957
02/12/2023 21:40,0.4978080957
02/12/2023 21:50,0.4991577758
02/12/2023 22:00,0.4994131754
02/12/2023 22:10,0.5003042418
02/12/2023 22:20,0.5001872246
02/12/2023 22:30,0.5021267586
02/12/2023 22:40,0.5021267586
02/12/2023 22:50,0.5084832913
02/12/2023 23:00,0.5155761443
02/12/2023 23:10,0.5192426176
02/12/2023 23:20,0.5209857683
02/12/2023 23:30,0.5163102234
02/12/2023 23:40,0.5165806630
02/12/2023 23:50,0.5164577728
02/13/2023 00:00,0.5161794326
02/13/2023 00:10,0.5206760221
02/13/2023 00:20,0.5271012914
02/13/2023 00:30,0.5271012914
02/13/2023 00:40,0.5350897425
02/13/2023 00:50,0.5597658177
02/13/2023 01:00,0.5644790501
02/13/2023 01:10,0.5651369291
02/13/2023 01:20,0.5706282098
02/13/2023 01:30,0.5714647722
02/13/2023 01:40,0.5706786458
02/13/2023 01:50,0.5618932282
02/13/2023 02:00,0.5572909094
02/13/2023 02:10,0.5396268159
02/13/2023 02:20,0.5481464807
02/13/2023 02:30,0.5481464807
02/13/2023 02:40,0.5514624512
02/13/2023 02:50,0.5557934532
02/13/2023 03:00,0.5557934532
02/13/2023 03:10,0.5577227710
02/13/2023 03:20,0.5572357646
02/13/2023 03:30,0.5623089128
02/13/2023 03:40,0.5610779460
02/13/2023 03:50,0.5616861283
02/13/2023 04:00,0.5635955020
02/13/2023 04:10,0.5617287450
02/13/2023 04:20,0.5636007322
02/13/2023 04:30,0.5658103461
02/13/2023 04:40,0.5638537073
02/13/2023 04:50,0.5620873311
02/13/2023 05:00,0.5620873311
02/13/2023 05:10,0.5538796311
02/13/2023 05:20,0.5538796311
02/13/2023 05:30,0.5496587765
02/13/2023 05:40,0.5542988256
02/13/2023 05:50,0.5416070396
02/13/2023 06:00,0.5378579331
02/13/2023 06:10,0.5349524391
02/13/2023 06:20,0.5365716149
02/13/2023 06:30,0.5321529198
02/13/2023 06:40,0.5321529198
02/13/2023 06:50,0.5373864583
02/13/2023 07:00,0.5374517413
02/13/2023 07:10,0.5376274691
02/13/2023 07:20,0.5328657158
02/13/2023 07:30,0.5326040496
02/13/2023 07:40,0.5417781578
02/13/2023 07:50,0.5417781578
02/13/2023 08:00,0.5408487438
02/13/2023 08:10,0.5416684987
02/13/2023 08:20,0.5409670040
02/13/2023 08:30,0.5404413160
02/13/2023 08:40,0.5386257727
02/13/2023 08:50,0.5429757736
02/13/2023 09:00,0.5417495846
02/13/2023 09:10,0.5397183532
02/13/2023 09:20,0.5381814053
02/13/2023 09:30,0.5347005748
02/13/2023 09:40,0.5309458684
02/13/2023 09:50,0.5260419313
02/13/2023 10:00,0.5213672108
02/13/2023 10:10,0.5248240698
02/13/2023 10:20,0.5259427889
02/13/2023 10:30,0.5237394710
02/13/2023 10:40,0.4988697611
02/13/2023 10:50,0.5000149285
02/13/2023 11:00,0.5027080294
02/13/2023 11:10,0.5035404021
02/13/2023 11:20,0.5034220279
02/13/2023 11:30,0.5001566557
02/13/2023 11:40,0.5018821199
02/13/2023 11:50,0.4930476637
02/13/2023 12:00,0.4930476637
02/13/2023 12:10,0.4963582583
02/13/2023 12:20,0.4961802383
02/13/2023 12:30,0.4969768433
02/13/2023 12:40,0.4923583678
02/13/2023 12:50,0.4924825939
02/13/2023 13:00,0.4926995522
02/13/2023 13:10,0.4959010671
02/13/2023 13:20,0.4948731518
02/13/2023 13:30,0.4956340380
02/13/2023 13:40,0.4944983285
02/13/2023 13:50,0.4943208133
02/13/2023 14:00,0.4943909056
02/13/2023 14:10,0.4951748012
02/13/2023 14:20,0.4958666811
02/13/2023 14:30,0.4952097027
02/13/2023 14:40,0.4988606112
02/13/2023 14:50,0.4955911214
02/13/2023 15:00,0.5004689057
02/13/2023 15:10,0.5016725532
02/13/2023 15:20,0.4976249284
02/13/2023 15:30,0.5011507526
02/13/2023 15:40,0.5011507526
02/13/2023 15:50,0.5044942901
02/13/2023 16:00,0.5019737709
02/13/2023 16:10,0.5056704765
02/13/2023 16:20,0.5038294772
02/13/2023 16:30,0.4994881221
02/13/2023 16:40,0.4959451967
02/13/2023 16:50,0.4959451967
02/13/2023 17:00,0.4970749776
02/13/2023 17:10,0.4957393402
02/13/2023 17:20,0.4933338998
02/13/2023 17:30,0.4755113570
02/13/2023 17:40,0.4757278638
02/13/2023 17:50,0.4792411677
02/13/2023 18:00,0.4792411677
02/13/2023 18:10,0.4738637230
02/13/2023 18:20,0.4693960515
02/13/2023 18:30,0.4669441028
02/13/2023 18:40,0.4654970770
02/13/2023 18:50,0.4688200578
02/13/2023 19:00,0.4680183170
02/13/2023 19:10,0.4647570686
02/13/2023 19:20,0.4570812637
02/13/2023 19:30,0.4570812637
02/13/2023 19:40,0.4644833371
02/13/2023 19:50,0.4644833371
02/13/2023 20:00,0.4631057543
02/13/2023 20:10,0.4627739783
02/13/2023 20:20,0.4680053924
02/13/2023 20:30,0.4680053924
02/13/2023 20:40,0.4720991052
02/13/2023 20:50,0.4686521700
02/13/2023 21:00,0.4720659702
02/13/2023 21:10,0.4685797699
02/13/2023 21:20,0.4660612590
02/13/2023 21:30,0.4680176097
02/13/2023 21:40,0.4683597715
